name,country,region,sector,sub_sector,stage,website,description,source_url,market_score,problem_pain_score,product_maturity_score,traction_score,team_score,technical_moat_score,valuation_score,investor_quality_score,exit_potential_score,risk_score,kamel_edge_score
Dexterity,United States,Global,Physical AI / Robotics,Warehouse robotic manipulation,Growth,https://www.dexterity.ai,Robotics company developing AI-powered robotic manipulation systems for logistics and warehouse automation.,https://www.dexterity.ai,12,8,8,10,11,10,8,4,4,6,15
Covariant,United States,Global,Physical AI / Robotics,Robotic picking and AI manipulation,Growth,https://covariant.ai,AI robotics company focused on robotic picking and machine learning systems for warehouse automation.,https://covariant.ai,12,8,8,10,12,11,8,4,4,6,15
Anysphere,United States,Global,AI Coding,AI coding IDE / agentic software engineering,Series D+,https://www.cursor.com,Company behind Cursor AI coding IDE; high-growth developer tool with product brand much better known than company name.,https://www.cursor.com,15,10,10,15,15,14,3,5,5,8,24
Nous Research,United States,Global,AI Infrastructure,Open-source models / decentralized training,Growth,https://nousresearch.com,Open-source AI research company associated with Hermes models and DiStrO distributed training approach.,https://nousresearch.com,13,8,8,9,12,13,7,4,4,7,20
Cognition AI,United States,Global,AI Coding,Autonomous software engineering / Windsurf / Devin,Growth,https://cognition.ai,AI software engineering company behind Devin and owner or operator of Windsurf context to validate.,https://cognition.ai,15,10,9,14,15,14,4,5,5,8,22
Lovable,Sweden,Europe,AI Coding,Vibe coding app builder,Series B+,https://lovable.dev,AI app builder enabling users to create web apps from natural language prompts.,https://lovable.dev,15,10,10,15,13,11,4,5,5,8,21
Replit,United States,Global,AI Coding,Cloud IDE / Replit Agent,Growth,https://replit.com,Developer platform and cloud IDE with AI agent for building and deploying applications.,https://replit.com,14,9,10,14,13,11,5,5,5,7,21
StackBlitz,United States,Global,AI Coding,Bolt.new / browser-based app builder,Growth,https://bolt.new,Company behind Bolt.new for generating and editing applications in the browser.,https://bolt.new,14,9,9,13,12,10,6,4,4,7,19
Vercel,United States,Global,AI Coding,v0 / frontend generation / deployment,Growth,https://v0.dev,Frontend cloud and developer platform behind v0 for AI UI and app generation.,https://v0.dev,14,9,10,13,14,12,5,5,5,6,19
OpenAI,United States,Global,AI Coding,Codex / coding agents,Private AI platform,https://chatgpt.com/codex,AI company behind Codex coding agents; strategic platform comparable not direct startup target.,https://chatgpt.com/codex,15,10,10,15,15,15,2,5,5,7,20
Anthropic,United States,Global,AI Coding,Claude Code / coding agents,Private AI platform,https://www.anthropic.com,AI company behind Claude Code; strategic platform comparable not direct startup target.,https://www.anthropic.com,15,10,10,15,15,15,2,5,5,7,20
Augment,United States,Global,AI Coding,Enterprise AI coding assistant,Growth,https://www.augmentcode.com,Enterprise-focused AI coding assistant and agentic developer platform.,https://www.augmentcode.com,14,9,9,12,13,12,6,4,4,7,20
Sourcegraph,United States,Global,AI Coding,Code intelligence / Cody / Amp,Growth,https://sourcegraph.com,Code intelligence platform with AI coding assistants and agentic development tools.,https://sourcegraph.com,13,8,9,11,12,11,7,4,4,6,19
Factory AI,United States,Global,AI Coding,Software engineering agents / Droids,Series A,https://www.factory.ai,AI software engineering platform building agents for coding tasks and engineering workflows.,https://www.factory.ai,13,9,8,10,12,12,7,4,4,7,20
Continue,United States,Global,AI Coding,Open-source coding assistant,Seed,https://www.continue.dev,Open-source AI code assistant and framework for developer workflows.,https://www.continue.dev,12,8,8,9,10,10,8,3,3,6,20
