category,tool_or_group,company_or_owner,role,investment_relevance,radar_priority,notes
Code developpement logiciel,Devin,Cognition AI,Agent logiciel autonome,Private AI coding,High,Orientation enterprise software engineering agent.
Image design creation,Canva AI / Magic Studio,Canva,Design grand public/pro,Private creative AI,High,Usage massif pour builders marketing design.
Image design creation,Midjourney,Midjourney,Image artistique premium,Private creative AI,Medium,Communaute specialisee et forte qualite visuelle.
Image design creation,DALL-E / ChatGPT image,OpenAI,Generation et edition image integree,Strategic platform,Medium,Integration dans ChatGPT et workflows multimodaux.
Image design creation,Ideogram,Ideogram,Texte dans images logos affiches,Private creative AI,Medium,Differenciation sur texte/logo/affiches.
Image design creation,Leonardo AI,Canva,Createurs jeux design,Private/strategic via Canva,Medium,Actif creatif specialise; integration Canva a suivre.
Image design creation,Adobe Firefly,Adobe,Image/design pro securise,Public comparable,High,Enterprise creative stack via Adobe.
Image design creation,Freepik / Photoroom / Remove.bg / Pixelcut,Mixed,Marketing e-commerce detourage visuels rapides,Mixed,Medium,Workflow e-commerce et marketing.
Video IA,Sora,OpenAI,Video generative,Strategic platform,High,Plateforme video IA majeure.
Video IA,Google Veo / Flow,Alphabet / Google,Generation video et workflow film,Public comparable,High,Acteur video IA majeur via Google DeepMind.
Video IA,Runway,Runway,Studio video IA complet,Private video AI,High,Leader startup video creative AI.
Video IA,Kling AI,Kuaishou,Video realiste,Public comparable,High,Acteur chinois fort en video IA.
Video IA,Luma Dream Machine,Luma AI,Image-to-video scenes realistes,Private video AI,Medium,Workflow image/video realiste.
Video IA,Pika,Pika Labs,Video courte createurs social,Private video AI,Medium,Creation social media.
Video IA,CapCut AI,ByteDance,Montage video grand public massif,Private/strategic via ByteDance,High,Distribution massive et fonctions IA integrees.
Audio voix musique,ElevenLabs,ElevenLabs,Voix doublage clonage narration,Private audio AI,High,Voix/audio defendable et adoption pro.
Audio voix musique,Suno,Suno,Generation musicale,Private audio AI,High,Musique IA grand public/creator economy.
Audio voix musique,Udio,Udio,Generation musicale,Private audio AI,Medium,Concurrent Suno.
Audio voix musique,Descript,Descript,Montage audio/video IA,Private creator AI,Medium,Workflow podcast/video editing.
Audio voix musique,HeyGen,HeyGen,Avatars video doublage presentations,Private video/avatar AI,Medium,Corporate video avatars et localisation.
Audio voix musique,Synthesia,Synthesia,Videos corporate avatars,Private video/avatar AI,Medium,Enterprise training videos.
Agents IA automatisation,Manus,Manus,Agent generaliste,Private agents,Medium,Agent generaliste tendance a verifier.
Agents IA automatisation,Genspark,Genspark,Recherche + agents,Private agents/search,Medium,Convergence recherche-agent.
Agents IA automatisation,OpenClaw,Open-source community,Agent local open source,Open-source agent,Low,Surveiller adoption GitHub et cas local.
Agents IA automatisation,n8n AI,n8n,Workflow automation open-source/low-code,Private automation,High,Cle pour connecter apps vibe-coded aux workflows reels.
Agents IA automatisation,Zapier AI,Zapier,Automation SaaS grand public/pro,Private automation,High,Distribution massive SMB/workflows.
Agents IA automatisation,Make AI,Make,Automation visuelle,Private automation,Medium,Workflow no-code visuel.
Agents IA automatisation,ChatGPT Apps/GPTs,OpenAI,Agents connectes outils,Strategic platform,High,Distribution d'agents via ChatGPT.
Agents IA automatisation,Claude MCP / Connectors,Anthropic,Connecteurs pro data dev science,Strategic platform,High,Standard/connecteurs pour agents entreprise.
Agents IA automatisation,Microsoft Copilot Studio,Microsoft,Agents entreprise,Public comparable,High,Plateforme agents enterprise Microsoft.
Agents IA automatisation,LangGraph,LangChain,Framework agents,Private/open-source infra,High,Framework de reference pour agents stateful.
Agents IA automatisation,AutoGen,Microsoft,Framework agents,Public/open-source infra,Medium,Framework multi-agent Microsoft.
Agents IA automatisation,CrewAI,CrewAI,Framework agents,Private/open-source infra,Medium,Framework multi-agent populaire.
Agents IA automatisation,OpenRouter,OpenRouter,Routage multi-modeles,Private infra,High,Mesure adoption modele et permet arbitrage cout/performance.
